"division","gender","age_group","education","number","cell_proportion_of_division_total"
"Banks","Female","ages18to29","postgraduateDegree",907,0.00842005588614822
"Banks","Female","ages30to44","bachelorDegree",4938,0.0458414950008819
"Banks","Female","ages30to44","gradDipDipCertIIIandIV",4162,0.0386375662603626
"Banks","Female","ages30to44","highSchoolorCertIorIIorLess",3930,0.0364838143688671
"Banks","Female","ages30to44","postgraduateDegree",2028,0.0188267622239345
"Banks","Female","ages45to59","bachelorDegree",2809,0.0260771080310809
"Banks","Female","ages45to59","gradDipDipCertIIIandIV",3995,0.0370872362350189
"Banks","Female","ages45to59","highSchoolorCertIorIIorLess",6244,0.0579656328038693
"Banks","Female","ages45to59","postgraduateDegree",857,0.00795588521987764
"Banks","Female","ages60plus","bachelorDegree",1384,0.0128482440423695
"Banks","Female","ages60plus","gradDipDipCertIIIandIV",2424,0.0225029939007974
"Banks","Female","ages60plus","highSchoolorCertIorIIorLess",10262,0.0952663875453727
"Banks","Female","ages60plus","postgraduateDegree",296,0.0027478903443218
"Banks","Male","ages18to29","bachelorDegree",2658,0.0246753126189437
"Banks","Male","ages18to29","gradDipDipCertIIIandIV",2697,0.0250373657386348
"Banks","Male","ages18to29","highSchoolorCertIorIIorLess",6181,0.0573807777643684
"Banks","Male","ages18to29","postgraduateDegree",650,0.00603421866151747
"Banks","Male","ages30to44","bachelorDegree",3739,0.0347106824237136
"Banks","Male","ages30to44","gradDipDipCertIIIandIV",4741,0.0440126625757759
"Banks","Male","ages30to44","highSchoolorCertIorIIorLess",3802,0.0352955374632145
"Banks","Male","ages30to44","postgraduateDegree",1900,0.0176384853182818
"Banks","Male","ages45to59","bachelorDegree",2514,0.0233385011000845
"Banks","Male","ages45to59","gradDipDipCertIIIandIV",4988,0.0463056656671525
"Banks","Male","ages45to59","highSchoolorCertIorIIorLess",4684,0.0434835080162274
"Banks","Male","ages45to59","postgraduateDegree",1115,0.0103510058578338
"Banks","Male","ages60plus","bachelorDegree",1618,0.0150205627605158
"Banks","Male","ages60plus","gradDipDipCertIIIandIV",4688,0.043520641669529
"Banks","Male","ages60plus","highSchoolorCertIorIIorLess",5958,0.0553105765928016
"Banks","Male","ages60plus","postgraduateDegree",579,0.00537509631541325
"Barker","Female","ages18to29","bachelorDegree",1027,0.00937908108749852
"Barker","Female","ages18to29","gradDipDipCertIIIandIV",2790,0.0254796847459794
"Barker","Female","ages18to29","highSchoolorCertIorIIorLess",4728,0.0431784765157673
"Barker","Female","ages18to29","postgraduateDegree",99,0.000904117845825076
"Barker","Female","ages30to44","bachelorDegree",2335,0.0213243956565813
"Barker","Female","ages30to44","gradDipDipCertIIIandIV",4595,0.041963853551174
"Barker","Female","ages30to44","highSchoolorCertIorIIorLess",5106,0.0466305628361903
"Barker","Female","ages30to44","postgraduateDegree",312,0.00284934108987297
"Barker","Female","ages45to59","bachelorDegree",1501,0.0137078877432671
"Barker","Female","ages45to59","gradDipDipCertIIIandIV",5138,0.0469228029479721
"Barker","Female","ages45to59","highSchoolorCertIorIIorLess",8437,0.0770509319719815
"Barker","Female","ages45to59","postgraduateDegree",226,0.00206394578945926
"Barker","Female","ages60plus","bachelorDegree",1231,0.0112421118001078
"Barker","Female","ages60plus","gradDipDipCertIIIandIV",3090,0.0282194357939342
"Barker","Female","ages60plus","highSchoolorCertIorIIorLess",14115,0.128905286806272
"Barker","Female","ages60plus","postgraduateDegree",132,0.0012054904611001
"Barker","Male","ages18to29","bachelorDegree",459,0.00419181910337081
