"year","division","tpp"
2010,"Greenway",50.0948819556845
2010,"Grey",40.1171907237765
2010,"Griffith",57.5134932021589
2010,"Groom",32.0376052016776
2010,"Hasluck",46.990011850347
2010,"Herbert",48.0029966067835
2010,"Higgins",44.3528289696336
2010,"Hindmarsh",62.5111915360462
2010,"Hinkler",39.9663595144069
2010,"Holt",61.2798200438051
2010,"Hotham",61.3822834098178
2010,"Hughes",43.0831085012961
2010,"Hume",42.2494076976949
2010,"Hunter",62.7421031690005
2010,"Indi",41.0192068979325
2010,"Isaacs",56.9650661789777
2010,"Jagajaga",61.3191004620563
2010,"Kennedy",38.5192323807928
2010,"Kingsford Smith",54.9283282309519
2010,"Kingston",62.628171214068
2010,"Kooyong",43.5314563781717
2010,"La Trobe",48.6675006634065
2010,"Lalor",72.611020265677
2010,"Leichhardt",45.5598877105427
2010,"Lilley",53.6277649735101
2010,"Lindsay",50.6936960288119
2010,"Lingiari",52.4982650936849
2010,"Longman",47.7303348359088
2010,"Lyne",38.9299570095418
2010,"Lyons",63.8087234565877
2010,"Macarthur",53.4394895467186
2010,"Mackellar",34.529082759259
2010,"Macnamara",59.8135198135198
2010,"Macquarie",48.8530900653871
2010,"Makin",63.1259065680481
2010,"Mallee",29.0728111041737
2010,"Maranoa",28.7732166791864
2010,"Maribyrnong",65.207635188001
2010,"Mayo",44.2496078985936
2010,"McEwen",57.2438481983041
2010,"McMahon",57.9385029281085
2010,"McPherson",39.6978659243795
2010,"Melbourne",73.0567404699032
2010,"Menzies",45.3266224316783
2010,"Mitchell",33.6405397645708
2010,"Monash",44.7025217842922
2010,"Moncrieff",32.7445112827873
2010,"Moore",38.6563965170797
2010,"Moreton",51.3063031410301
2010,"New England",33.9837518101269
2010,"Newcastle",62.8122904886595
2010,"Nicholls",32.9937754995292
2010,"North Sydney",36.7664437554743
2010,"O'Connor",29.4100805932118
2010,"Oxley",56.2450238853503
2010,"Page",53.0939442894209
2010,"Parkes",34.7254768564013
2010,"Parramatta",54.8796704722366
2010,"Paterson",57.7447865210542
2010,"Pearce",39.785202347184
2010,"Perth",54.6811313444401
2010,"Petrie",51.8752567221713
2010,"Rankin",55.8528756714267
2010,"Reid",49.0911644017287
2010,"Richmond",56.1379785767314
2010,"Riverina",32.8076359363833
2010,"Robertson",51.1942696478779
2010,"Ryan",43.3145434047351
2010,"Scullin",74.6883215328291
2010,"Shortland",63.1210701111855
2010,"Solomon",48.3747018814592
2010,"Spence",68.020881572854
2010,"Stirling",45.3283155982351
2010,"Sturt",46.8218580271802
2010,"Swan",46.9459520215807
2010,"Sydney",66.2047652277938
2010,"Tangney",38.8500250892884
2010,"Wannon",43.987345607932
2010,"Warringah",36.6790002486216
2010,"Watson",62.0171574310225
2010,"Wentworth",32.9819156276577
2010,"Werriwa",57.6223326908119
2010,"Whitlam",61.1330494257324
2010,"Wide Bay",34.5646938626578
2010,"Wills",74.6562278893777
2010,"Wright",40.8807877493393
2013,"Adelaide",57.6400291354428
2013,"Aston",43.3563970310731
2013,"Ballarat",54.6896099902397
2013,"Banks",46.9377062180495
2013,"Barker",34.2380343210133
2013,"Barton",54.2348312279975
2013,"Bass",46.1086216771672
2013,"Bean",56.9934890846419
2013,"Bendigo",51.5940301741651
2013,"Bennelong",42.5375471466892
2013,"Berowra",31.2098882814357
2013,"Blair",54.9101787539061
2013,"Blaxland",63.3579499662823
2013,"Bonner",47.879842191917
2013,"Boothby",44.0876572197052
2013,"Bowman",41.4440212405127
2013,"Braddon",47.2528203933575
