"date","pollster","party","poll"
1978-03-22,"F2F Morgan","oth",12
1978-04-05,"F2F Morgan","lnp",48
1978-04-05,"F2F Morgan","alp",41
1978-04-05,"F2F Morgan","oth",11
1978-04-19,"F2F Morgan","lnp",49
1978-04-19,"F2F Morgan","alp",41
1978-04-19,"F2F Morgan","oth",10
1978-05-03,"F2F Morgan","lnp",50
1978-05-03,"F2F Morgan","alp",39
1978-05-03,"F2F Morgan","oth",11
1978-05-17,"F2F Morgan","lnp",48
1978-05-17,"F2F Morgan","alp",41
1978-05-17,"F2F Morgan","oth",11
1978-05-31,"F2F Morgan","lnp",46
1978-05-31,"F2F Morgan","alp",42
1978-05-31,"F2F Morgan","oth",12
1978-06-14,"F2F Morgan","lnp",50
1978-06-14,"F2F Morgan","alp",40
1978-06-14,"F2F Morgan","oth",10
1978-06-28,"F2F Morgan","lnp",45
1978-06-28,"F2F Morgan","alp",43
1978-06-28,"F2F Morgan","oth",12
1978-07-12,"F2F Morgan","lnp",45
1978-07-12,"F2F Morgan","alp",42
1978-07-12,"F2F Morgan","oth",13
1978-08-09,"F2F Morgan","lnp",48
1978-08-09,"F2F Morgan","alp",42
1978-08-09,"F2F Morgan","oth",10
1978-08-19,"F2F Morgan","lnp",39
1978-08-19,"F2F Morgan","alp",51
1978-08-19,"F2F Morgan","oth",10
1978-08-30,"F2F Morgan","lnp",40
1978-08-30,"F2F Morgan","alp",47
1978-08-30,"F2F Morgan","oth",13
1978-09-13,"F2F Morgan","lnp",42
1978-09-13,"F2F Morgan","alp",47
1978-09-13,"F2F Morgan","oth",11
1978-09-27,"F2F Morgan","lnp",42
1978-09-27,"F2F Morgan","alp",47
1978-09-27,"F2F Morgan","oth",11
1978-10-25,"F2F Morgan","lnp",43
1978-10-25,"F2F Morgan","alp",49
1978-10-25,"F2F Morgan","oth",8
1978-11-08,"F2F Morgan","lnp",41
1978-11-08,"F2F Morgan","alp",51
1978-11-08,"F2F Morgan","oth",8
1978-11-22,"F2F Morgan","lnp",45
1978-11-22,"F2F Morgan","alp",47
1978-11-22,"F2F Morgan","oth",8
1978-12-06,"F2F Morgan","lnp",42
1978-12-06,"F2F Morgan","alp",49
1978-12-06,"F2F Morgan","oth",9
1979-01-17,"F2F Morgan","lnp",44
1979-01-17,"F2F Morgan","alp",47
1979-01-17,"F2F Morgan","oth",9
1979-01-31,"F2F Morgan","lnp",45
1979-01-31,"F2F Morgan","alp",47
1979-01-31,"F2F Morgan","oth",8
1979-02-14,"F2F Morgan","lnp",44
1979-02-14,"F2F Morgan","alp",47
1979-02-14,"F2F Morgan","oth",9
1979-02-28,"F2F Morgan","lnp",44
1979-02-28,"F2F Morgan","alp",47
1979-02-28,"F2F Morgan","oth",9
1979-03-14,"F2F Morgan","lnp",41
1979-03-14,"F2F Morgan","alp",50
1979-03-14,"F2F Morgan","oth",9
1979-03-28,"F2F Morgan","lnp",42
1979-03-28,"F2F Morgan","alp",48
1979-03-28,"F2F Morgan","oth",10
1979-04-11,"F2F Morgan","lnp",43
1979-04-11,"F2F Morgan","alp",48
1979-04-11,"F2F Morgan","oth",9
1979-04-25,"F2F Morgan","lnp",43
1979-04-25,"F2F Morgan","alp",47
1979-04-25,"F2F Morgan","oth",10
1979-05-09,"F2F Morgan","lnp",45
1979-05-09,"F2F Morgan","alp",45
1979-05-09,"F2F Morgan","oth",10
1979-05-23,"F2F Morgan","lnp",41
1979-05-23,"F2F Morgan","alp",50
1979-05-23,"F2F Morgan","oth",9
1979-06-06,"F2F Morgan","lnp",40
1979-06-06,"F2F Morgan","alp",51
1979-06-06,"F2F Morgan","oth",9
1979-06-20,"F2F Morgan","lnp",41
1979-06-20,"F2F Morgan","alp",50
1979-06-20,"F2F Morgan","oth",9
1979-07-18,"F2F Morgan","lnp",40
1979-07-18,"F2F Morgan","alp",52
1979-07-18,"F2F Morgan","oth",8
1979-08-01,"F2F Morgan","lnp",40
1979-08-01,"F2F Morgan","alp",50
1979-08-01,"F2F Morgan","oth",10
1979-08-12,"F2F Morgan","lnp",40
1979-08-12,"F2F Morgan","alp",50
1979-08-12,"F2F Morgan","oth",10
1979-08-26,"F2F Morgan","lnp",42
1979-08-26,"F2F Morgan","alp",47
1979-08-26,"F2F Morgan","oth",11
1979-09-05,"F2F Morgan","lnp",44
1979-09-05,"F2F Morgan","alp",48
1979-09-05,"F2F Morgan","oth",8
1979-09-19,"F2F Morgan","lnp",43
1979-09-19,"F2F Morgan","alp",49
1979-09-19,"F2F Morgan","oth",8
1979-10-03,"F2F Morgan","lnp",42
1979-10-03,"F2F Morgan","alp",48
1979-10-03,"F2F Morgan","oth",10
1979-10-17,"F2F Morgan","lnp",41
1979-10-17,"F2F Morgan","alp",50
1979-10-17,"F2F Morgan","oth",9
1979-10-30,"F2F Morgan","lnp",44
1979-10-30,"F2F Morgan","alp",49
1979-10-30,"F2F Morgan","oth",7
1979-11-14,"F2F Morgan","lnp",44
1979-11-14,"F2F Morgan","alp",47
1979-11-14,"F2F Morgan","oth",9
1979-11-28,"F2F Morgan","lnp",43
1979-11-28,"F2F Morgan","alp",48
1979-11-28,"F2F Morgan","oth",9
