"first_pref","age_group","gender","education","division","state","tpp_imputed"
"ALP","ages30to44","Male","highSchoolorCertIorIIorLess","Gilmore","NSW","ALP"
"LNP","ages30to44","Male","postgraduateDegree","Gilmore","NSW","LNP"
"LNP","ages18to29","Female","bachelorDegree","Gilmore","NSW","LNP"
"LNP","ages60plus","Female","highSchoolorCertIorIIorLess","Gilmore","NSW","LNP"
"ALP","ages30to44","Female","highSchoolorCertIorIIorLess","Eden-Monaro","NSW","ALP"
"Other","ages18to29","Female","gradDipDipCertIIIandIV","Macquarie","NSW","LNP"
"ALP","ages18to29","Female","highSchoolorCertIorIIorLess","Hughes","NSW","ALP"
"ALP","ages45to59","Female","bachelorDegree","Macquarie","NSW","ALP"
"ALP","ages45to59","Female","bachelorDegree","Macquarie","NSW","ALP"
"ALP","ages30to44","Male","gradDipDipCertIIIandIV","Hume","NSW","ALP"
"ALP","ages60plus","Female","bachelorDegree","Whitlam","NSW","ALP"
"ALP","ages45to59","Male","gradDipDipCertIIIandIV","Whitlam","NSW","ALP"
"Other","ages30to44","Female","highSchoolorCertIorIIorLess","Paterson","NSW","ALP"
"LNP","ages45to59","Female","highSchoolorCertIorIIorLess","Lyne","NSW","LNP"
"GRN","ages30to44","Female","gradDipDipCertIIIandIV","Shortland","NSW","ALP"
"LNP","ages30to44","Male","gradDipDipCertIIIandIV","Newcastle","NSW","LNP"
"ALP","ages45to59","Male","gradDipDipCertIIIandIV","Newcastle","NSW","ALP"
"Other","ages30to44","Female","postgraduateDegree","Newcastle","NSW","ALP"
"Unsure","ages45to59","Female","highSchoolorCertIorIIorLess","Shortland","NSW","LNP"
"ALP","ages18to29","Male","highSchoolorCertIorIIorLess","Newcastle","NSW","ALP"
"LNP","ages60plus","Male","postgraduateDegree","Paterson","NSW","LNP"
"LNP","ages45to59","Female","bachelorDegree","Paterson","NSW","LNP"
"ALP","ages45to59","Female","highSchoolorCertIorIIorLess","Lyne","NSW","ALP"
"Other","ages45to59","Female","highSchoolorCertIorIIorLess","Indi","VIC","LNP"
"LNP","ages45to59","Male","highSchoolorCertIorIIorLess","Farrer","NSW","LNP"
"GRN","ages30to44","Male","gradDipDipCertIIIandIV","Farrer","NSW","LNP"
"Other","ages45to59","Male","highSchoolorCertIorIIorLess","Indi","VIC","LNP"
"Unsure","ages30to44","Female","postgraduateDegree","Canberra","ACT","ALP"
"LNP","ages30to44","Female","highSchoolorCertIorIIorLess","Canberra","ACT","LNP"
"ALP","ages30to44","Female","highSchoolorCertIorIIorLess","Eden-Monaro","NSW","ALP"
"ALP","ages45to59","Female","bachelorDegree","Bean","ACT","ALP"
"LNP","ages18to29","Male","bachelorDegree","Eden-Monaro","NSW","LNP"
"ALP","ages30to44","Female","bachelorDegree","Canberra","ACT","ALP"
"LNP","ages45to59","Male","highSchoolorCertIorIIorLess","Fenner","ACT","LNP"
"ALP","ages45to59","Female","postgraduateDegree","Fenner","ACT","ALP"
"ALP","ages30to44","Female","highSchoolorCertIorIIorLess","Fenner","ACT","ALP"
"GRN","ages45to59","Female","postgraduateDegree","Fenner","ACT","LNP"
"Unsure","ages30to44","Female","highSchoolorCertIorIIorLess","Fenner","ACT","ALP"
"ALP","ages45to59","Male","bachelorDegree","Riverina","NSW","ALP"
"ALP","ages60plus","Male","bachelorDegree","Canberra","ACT","ALP"
"ALP","ages45to59","Female","bachelorDegree","Bean","ACT","ALP"
"ALP","ages60plus","Male","bachelorDegree","Bean","ACT","ALP"
"LNP","ages45to59","Female","gradDipDipCertIIIandIV","Eden-Monaro","NSW","LNP"
"ALP","ages45to59","Female","highSchoolorCertIorIIorLess","Calare","NSW","ALP"
"ALP","ages30to44","Male","highSchoolorCertIorIIorLess","Chifley","NSW","ALP"
"ALP","ages45to59","Male","highSchoolorCertIorIIorLess","Riverina","NSW","ALP"
"Other","ages45to59","Male","postgraduateDegree","Bradfield","NSW","ALP"
"LNP","ages30to44","Female","gradDipDipCertIIIandIV","Calare","NSW","LNP"
"ALP","ages45to59","Male","gradDipDipCertIIIandIV","Calare","NSW","ALP"
"Other","ages45to59","Female","gradDipDipCertIIIandIV","Calare","NSW","ALP"
"LNP","ages45to59","Female","highSchoolorCertIorIIorLess","Calare","NSW","LNP"
"Other","ages18to29","Female","highSchoolorCertIorIIorLess","Calare","NSW","ALP"
"GRN","ages30to44","Female","bachelorDegree","Lyne","NSW","ALP"
"LNP","ages60plus","Female","bachelorDegree","Lyne","NSW","LNP"
"Other","ages30to44","Male","highSchoolorCertIorIIorLess","New England","NSW","ALP"
"LNP","ages45to59","Female","bachelorDegree","Cowper","NSW","LNP"
"ALP","ages18to29","Female","bachelorDegree","Cowper","NSW","ALP"
"Other","ages45to59","Female","postgraduateDegree","Cowper","NSW","ALP"
"ALP","ages60plus","Male","bachelorDegree","Lyne","NSW","ALP"
